,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
115,1995,IL,Midwest,3,2,5,2.6094379124341005,Illinois
116,1995,LA,South,0,1,1,1.0,Louisiana
117,1995,MO,Midwest,3,3,6,2.791759469228055,Missouri
118,1995,MT,West,1,0,1,1.0,Montana
119,1995,NC,South,2,0,2,1.6931471805599454,North Carolina
120,1995,OK,South,3,0,3,2.09861228866811,Oklahoma
121,1995,PA,Northeast,2,0,2,1.6931471805599454,Pennsylvania
122,1995,SC,South,0,1,1,1.0,South Carolina
123,1995,TX,South,8,11,19,3.9444389791664403,Texas
124,1995,VA,South,2,3,5,2.6094379124341005,Virginia
125,1996,AL,South,0,1,1,1.0,Alabama
126,1996,AR,South,1,0,1,1.0,Arkansas
127,1996,AZ,West,1,1,2,1.6931471805599454,Arizona
128,1996,CA,West,2,0,2,1.6931471805599454,California
129,1996,DE,South,2,1,3,2.09861228866811,Delaware
130,1996,FL,South,0,2,2,1.6931471805599454,Florida
131,1996,GA,South,2,0,2,1.6931471805599454,Georgia
132,1996,IL,Midwest,0,1,1,1.0,Illinois
133,1996,IN,Midwest,0,1,1,1.0,Indiana
134,1996,LA,South,0,1,1,1.0,Louisiana
135,1996,MO,Midwest,4,2,6,2.791759469228055,Missouri
136,1996,NE,Midwest,1,0,1,1.0,Nebraska
137,1996,NV,West,1,0,1,1.0,Nevada
138,1996,OK,South,2,0,2,1.6931471805599454,Oklahoma
139,1996,OR,West,1,0,1,1.0,Oregon
140,1996,SC,South,5,1,6,2.791759469228055,South Carolina
141,1996,TX,South,1,2,3,2.09861228866811,Texas
142,1996,UT,West,1,0,1,1.0,Utah
143,1996,VA,South,5,3,8,3.0794415416798357,Virginia
144,1997,AL,South,2,1,3,2.09861228866811,Alabama
145,1997,AR,South,2,2,4,2.386294361119891,Arkansas
146,1997,AZ,West,2,0,2,1.6931471805599454,Arizona
147,1997,CO,West,1,0,1,1.0,Colorado
148,1997,FL,South,0,1,1,1.0,Florida
149,1997,IL,Midwest,0,2,2,1.6931471805599454,Illinois
150,1997,IN,Midwest,0,1,1,1.0,Indiana
151,1997,KY,South,1,0,1,1.0,Kentucky
152,1997,LA,South,1,0,1,1.0,Louisiana
153,1997,MD,South,0,1,1,1.0,Maryland
154,1997,MO,Midwest,5,1,6,2.791759469228055,Missouri
155,1997,NE,Midwest,0,1,1,1.0,Nebraska
156,1997,OK,South,0,1,1,1.0,Oklahoma
157,1997,OR,West,1,0,1,1.0,Oregon
158,1997,SC,South,1,1,2,1.6931471805599454,South Carolina
159,1997,TX,South,20,17,37,4.610917912644224,Texas
160,1997,VA,South,4,5,9,3.1972245773362196,Virginia
161,1998,AL,South,1,0,1,1.0,Alabama
162,1998,AR,South,1,0,1,1.0,Arkansas
163,1998,AZ,West,2,2,4,2.386294361119891,Arizona
164,1998,CA,West,1,0,1,1.0,California
165,1998,FL,South,2,2,4,2.386294361119891,Florida
166,1998,GA,South,1,0,1,1.0,Georgia
167,1998,IL,Midwest,1,0,1,1.0,Illinois
168,1998,IN,Midwest,1,0,1,1.0,Indiana
169,1998,MD,South,0,1,1,1.0,Maryland
170,1998,MO,Midwest,1,2,3,2.09861228866811,Missouri
171,1998,MT,West,1,0,1,1.0,Montana
172,1998,NC,South,3,0,3,2.09861228866811,North Carolina
173,1998,NV,West,0,1,1,1.0,Nevada
174,1998,OK,South,3,1,4,2.386294361119891,Oklahoma
175,1998,SC,South,3,4,7,2.9459101490553135,South Carolina
176,1998,TX,South,13,7,20,3.995732273553991,Texas
177,1998,VA,South,4,9,13,3.5649493574615367,Virginia
178,1998,WA,West,1,0,1,1.0,Washington
179,1999,AL,South,0,2,2,1.6931471805599454,Alabama
180,1999,AR,South,4,0,4,2.386294361119891,Arkansas
181,1999,AZ,West,5,2,7,2.9459101490553135,Arizona
182,1999,CA,West,0,2,2,1.6931471805599454,California
183,1999,DE,South,1,1,2,1.6931471805599454,Delaware
184,1999,FL,South,1,0,1,1.0,Florida
185,1999,IL,Midwest,1,0,1,1.0,Illinois
186,1999,IN,Midwest,1,0,1,1.0,Indiana
187,1999,KY,South,1,0,1,1.0,Kentucky
188,1999,LA,South,0,1,1,1.0,Louisiana
189,1999,MO,Midwest,4,5,9,3.1972245773362196,Missouri
190,1999,NC,South,2,2,4,2.386294361119891,North Carolina
