State,Race,Race Population,Region,Victim
Kentucky,Asian,64381,South,0.0
Louisiana,Asian,83959,South,0.0
Maine,Asian,15141,Northeast,0.0
Maryland,Asian,389297,South,0.0
Massachusetts,Asian,450311,Northeast,0.0
Michigan,Asian,306376,Midwest,0.0
Minnesota,Asian,272228,Midwest,0.0
Mississippi,Asian,27467,South,1.0
Missouri,Asian,123227,Midwest,0.0
Montana,Asian,7182,West,0.0
Nebraska,Asian,46837,Midwest,0.0
Nevada,Asian,249834,West,0.0
New Hampshire,Asian,35602,Northeast,0.0
New Jersey,Asian,882064,Northeast,0.0
New Mexico,Asian,27514,West,0.0
New York,Asian,1718948,Northeast,0.0
North Carolina,Asian,29305,South,0.0
North Dakota,Asian,12699,Midwest,0.0
Ohio,Asian,256437,Midwest,1.0
Oklahoma,Asian,84404,South,7.0
Oregon,Asian,180042,West,0.0
Pennsylvania,Asian,442425,Northeast,0.0
Rhode Island,Asian,37798,Northeast,0.0
South Carolina,Asian,74889,South,1.0
South Dakota,Asian,10612,Midwest,0.0
Tennessee,Asian,118312,South,0.0
Texas,Asian,1344963,South,16.0
Utah,Asian,7453,West,0.0
Vermont,Asian,11073,Northeast,0.0
Virginia,Asian,539382,South,3.0
Washington,Asian,625939,West,0.0
West Virginia,Asian,13695,South,0.0
Wisconsin,Asian,158583,Midwest,0.0
Wyoming,Asian,4586,West,0.0
Alabama,Native American,22209,South,0.0
Alaska,Native American,105146,West,0.0
Arizona,Native American,274496,West,0.0
Arkansas,Native American,16901,South,0.0
California,Native American,14788,West,0.0
Colorado,Native American,32102,West,0.0
Connecticut,Native American,7486,Northeast,0.0
Delaware,Native American,2344,South,0.0
Florida,Native American,42654,South,0.0
Georgia,Native American,18335,South,0.0
Hawaii,Native American,1659,West,0.0
Idaho,Native American,19136,West,0.0
Illinois,Native American,12784,Midwest,0.0
Indiana,Native American,9694,Midwest,0.0
Iowa,Native American,7825,Midwest,0.0
Kansas,Native American,17617,Midwest,0.0
Kentucky,Native American,6882,South,0.0
Louisiana,Native American,21942,South,0.0
Maine,Native American,8225,Northeast,0.0
Maryland,Native American,11879,South,0.0
Massachusetts,Native American,9439,Northeast,0.0
Michigan,Native American,45421,Midwest,0.0
Minnesota,Native American,53674,Midwest,0.0
Mississippi,Native American,1324,South,0.0
Missouri,Native American,21332,Midwest,0.0
Montana,Native American,62126,West,0.0
Nebraska,Native American,12823,Midwest,0.0
Nevada,Native American,27991,West,0.0
New Hampshire,Native American,15,Northeast,0.0
New Jersey,Native American,9074,Northeast,0.0
New Mexico,Native American,182991,West,0.0
New York,Native American,41752,Northeast,0.0
North Carolina,Native American,111317,South,2.0
North Dakota,Native American,40745,Midwest,0.0
Ohio,Native American,17866,Midwest,0.0
Oklahoma,Native American,28858,South,1.0
Oregon,Native American,38855,West,0.0
Pennsylvania,Native American,14498,Northeast,0.0
Rhode Island,Native American,3134,Northeast,0.0
South Carolina,Native American,1237,South,0.0
South Dakota,Native American,74563,Midwest,0.0
Tennessee,Native American,13699,South,0.0
Texas,Native American,71859,South,1.0
Utah,Native American,30073,West,0.0
Vermont,Native American,1971,Northeast,0.0
Virginia,Native American,20568,South,0.0
Washington,Native American,75535,West,0.0
West Virginia,Native American,2391,South,0.0
Wisconsin,Native American,44664,Midwest,0.0
Wyoming,Native American,12341,West,0.0
